Program,Sprint,Cohort,CSAT,NPS
AiCE,Sprint 1,C9,87,61
AiCE,Sprint 1,C10,87,61
AiCE,Sprint 1,C11,87,61
AiCE,Sprint 1,C12,87,61
AiCE,Sprint 2,C13,91,75
AiCE,Sprint 2,C14,91,75
PF,Sprint 1,C7,87,80
PF,Sprint 1,C8,87,80
PF,Sprint 2,C9,88,64
PF,Sprint 2,C10,88,64
VA,Sprint 1,C7,95,89
VA,Sprint 1,C8,95,89
VA,Sprint 1,C9,95,89
VA,Sprint 2,C10,92,80
VA,Sprint 2,C11,92,80
